artist_name,track_uri,artist_uri,track_name,album_uri,duration,album_name,artists
Lemon Demon,spotify:track:29L9B2aDs2NhrQGbs8pf9M,spotify:artist:4llAOeA6kEF4ytaB2fsmcW,As Your Father I Expressly Forbid It,spotify:album:4ocal2JegUDVQdP6KN1roI,173123,Spirit Phone,Lemon Demon
BTS,spotify:track:1aKuG1GG76xPLUkjBbQo3W,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,UGH!,spotify:album:6mJZTV8lCqnwftYZa94bXS,225012,MAP OF THE SOUL : 7,BTS
The Altogether,spotify:track:6zjzo6BRdYdOmALwt6TauD,spotify:artist:6LipWEhF4zwwRY8hFtCQHc,See the Day,spotify:album:7gMJ73FNHGu8YHP3Kkt9Vd,187867,Silo,The Altogether
Theo Katzman,spotify:track:6NzE6TTlRMXonm5YEMVlVc,spotify:artist:2a4lU7F8toqKpb5v6Ftqya,Love Is a Beautiful Thing,spotify:album:04QktcTXcS9qQTp7Q22Z3I,210251,Heartbreak Hits,Theo Katzman
Agust D,spotify:track:5uHrWZqndnheP1qtYr6xGC,spotify:artist:5RmQ8k4l3HZ8JoPb4mNsML,Moonlight,spotify:album:0zhGddZ83RpCgnelKWa2qS,163015,D-2,Agust D
Lemon Demon,spotify:track:6ForyBso37QPHoEM06IDwK,spotify:artist:4llAOeA6kEF4ytaB2fsmcW,Reaganomics,spotify:album:4ocal2JegUDVQdP6KN1roI,211913,Spirit Phone,Lemon Demon
Will Wood,spotify:track:2vT4Xvrd9xuWUi56RQ2sqo,spotify:artist:1VQ8riQ31zVHtlxiCC9EZE,I / Me / Myself,spotify:album:18N6gzTT0phzm6YktirxNe,291715,The Normal Album,Will Wood
Red Velvet,spotify:track:3CYH422oy1cZNoo0GTG1TK,spotify:artist:1z4g3DjTBBZKhvAroFlhOM,Psycho,spotify:album:3rVtm00UfbuzWOewdm4iYM,210560,‘The ReVe Festival’ Finale,Red Velvet
N.Flying,spotify:track:2iODlZgbroRzdfuxmFfPiH,spotify:artist:2ZmXexIJAD7PgABrj0qQRb,GOOD BAM,spotify:album:54lrjzd3nWqD8JxSERPlBN,210400,YAHO,N.Flying
Childish Gambino,spotify:track:00GOPLxW4PGQuUYdPJh8K1,spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL,IV. Sweatpants,spotify:album:4GNIhgEGXzWGAefgN5qjdU,180675,Because the Internet,Childish Gambino
