artist_name,track_uri,artist_uri,track_name,album_uri,duration,album_name,artists
Catey Shaw,spotify:track:6AWNMwzTLtF3OOhuekWvCW,spotify:artist:5nfow6tv4Dtm6K4WHzczBI,Night Go Slow,spotify:album:1wHOjPgthvvf35Hne9XCbB,199842,The Brooklyn EP,Catey Shaw
Mary Lambert,spotify:track:2px10xaPpeVd2bLLZBGBD9,spotify:artist:5Z2NUZiY3FA00HKu5WTMhA,Know Your Name,spotify:album:4clcuZbC3cx8c0jfSt5P30,244933,Bold,Mary Lambert
Lady Gaga,spotify:track:554PnB96IltLzVlbinBstw,spotify:artist:1HY2Jd0NmPuamShAr6KMms,Hey Girl,spotify:album:2ZUwFxlWo0gwTsvZ6L4Meh,255413,Joanne (Deluxe),"Lady Gaga, Florence Welch"
Ani DiFranco,spotify:track:2nBB42lNmkh8qlzEUOmEwI,spotify:artist:0AiTwNtYX8m4uhfU7rJ8RD,If It Isn't Her,spotify:album:6yIQT5AvjFQ0kRo3RxBN6n,237826,Imperfectly,Ani DiFranco
Tegan and Sara,spotify:track:0euRZeEKvdbptPpebwDtLc,spotify:artist:5e1BZulIiYWPRm8yogwUYH,Boyfriend,spotify:album:0zqoBumDciJGNoOsvfTP5U,167253,Love You to Death,Tegan and Sara
Hayley Kiyoko,spotify:track:5btaVjrLBxTvXNmCv5DrW2,spotify:artist:3LjhVl7GzYsza1biQjTpaN,Curious,spotify:album:2oRkkW6ZudviRBd6mx4CfL,183280,Expectations,Hayley Kiyoko
Halsey,spotify:track:2TBQoW7s6iwKcg139ssqie,spotify:artist:26VFTg2z8YR0cCuwLzESi2,Bad At Love,spotify:album:1fV3TdIojhb9lQXd72HiPq,181279,hopeless fountain kingdom (Deluxe),Halsey
Etta Bond,spotify:track:0Ge1HubxyHeLkpkb3OTmnU,spotify:artist:0zanHkxN0P38oWegA8iSQA,Kiss My Girlfriend,spotify:album:5XE42HojwvyhpKM9Fs1uI1,230875,Kiss My Girlfriend,"Etta Bond, Chris Loco"
Sophie B. Hawkins,spotify:track:0RmEn2jcbyrLV4em3bnDZJ,spotify:artist:3gdIwZY6Q3RXhDteYr4ZvC,Damn I Wish I Was Your Lover,spotify:album:191wfG4xD0VAgJH7rJ97iD,323400,The Best Of Sophie B. Hawkins,Sophie B. Hawkins
St. Vincent,spotify:track:1mVj7sdHn0zjcjON0v1ShS,spotify:artist:7bcbShaqKdcyjnmv4Ix8j6,And Then She Kissed Me,spotify:album:1Roqqh9z76dk77g98fiR2E,126533,Universal Love - Wedding Songs Reimagined,St. Vincent
dodie,spotify:track:4hjbxjZpJ8H6qRCzDOGI0M,spotify:artist:21TinSsF5ytwsfdyz5VSVS,Sick of Losing Soulmates,spotify:album:6QBJTOxkR7sM0snlvzD4d2,267377,Sick of Losing Soulmates,dodie
PVRIS,spotify:track:7eN3lGwu6SSmwYGH9PlpYa,spotify:artist:6oFs3qk4VepIVFdoD4jmsy,Heaven,spotify:album:0jLafOidtMogAbdIjOXXIe,254358,"All We Know Of Heaven, All We Need Of Hell",PVRIS
Tove Lo,spotify:track:1TIiWomS4i0Ikaf9EKdcLn,spotify:artist:4NHQUGzhtTLFvgF5SZesLK,disco tits,spotify:album:6jggnLM3SdDnjQ3GWmIZ4L,223794,BLUE LIPS (lady wood phase II),Tove Lo
Kesha,spotify:track:0nv25WB0VNBeec3XLvp0fg,spotify:artist:6LqNN22kT3074XbTVUrhzX,I Need a Woman to Love,spotify:album:1Roqqh9z76dk77g98fiR2E,268840,Universal Love - Wedding Songs Reimagined,Kesha
Tracy Chapman,spotify:track:2M9ro2krNb7nr7HSprkEgo,spotify:artist:7oPgCQqMMXEXrNau5vxYZP,Fast Car,spotify:album:6hmmX5UP4rIvOpGSaPerV8,296800,Tracy Chapman,Tracy Chapman
Frankie Simone,spotify:track:7IgUWG8jL087IoXsQOfnjm,spotify:artist:1QNIcC3tJ4EKXsCKnqwajy,Queer,spotify:album:7quK0eqINhOVQRZUuSZ6Qa,187105,LOVE//WARRIOR,Frankie Simone
Zolita,spotify:track:2IUZ5ifH9R13RoK8X70lgF,spotify:artist:7nnTzZ5tZrPx14iDnmjksU,Come Home With Me,spotify:album:5BfoUXzblFJcVAqIjy3rJx,216971,Sappho,Zolita
The Veronicas,spotify:track:7MFvqBJ3ozTwDrf5VfoW8U,spotify:artist:1dIdBZaaHRW2bDTkHNfWln,Take Me on the Floor,spotify:album:6aL2SwYj5kSEvIcYORHP37,210480,Hook Me Up,The Veronicas
Gina Young,spotify:track:5XUZUnnvjObWveOA9fpO7L,spotify:artist:0U64coxrK2Wm5s2PmApkBn,So-Called Str8 Grrrl,spotify:album:4UH7wsiFLZ6yvw24HGzh1J,124653,Intractable,Gina Young
Kate Nash,spotify:track:1BQDCBf8fep2LdWAl1yeZw,spotify:artist:5vBKu1igxFo6g1sHADkIdg,I Wanna Boyfriend With a Car,spotify:album:6W36GnLwIweZmrBvLXI6j5,148680,Death Proof - EP,Kate Nash
Gia Woods,spotify:track:6Xaf3HcFJhY0P2KjRDEKgs,spotify:artist:6T56xtTEllGW17snjAZLNP,Only a Girl,spotify:album:6pki2j5FzShqZoojdjCjvM,213159,Only a Girl,Gia Woods
Lauren Sanderson,spotify:track:4dWz6JF3aahRCT8StKWYO9,spotify:artist:06vRrrjT3DBRkhBlXoBdYj,Palm Springs,spotify:album:7j27icwywFox6FrTxTDTxP,170397,Center of Expression,Lauren Sanderson
"Now, Now",spotify:track:3opSfLvpDbZVG0ecreiL4M,spotify:artist:6ZitSwtBSGqj00w11GvMU3,SGL,spotify:album:3wat6tT5YMZ1f8cuyBxRTm,194437,SGL,"Now, Now"
GRLwood,spotify:track:4b1AVfnXbweineQSzN6XaP,spotify:artist:0yrzVTuk6PgF51NYgfgKXe,Bisexual,spotify:album:4l3AvPlLKKJNUhYyce9ZQa,120341,Bisexual,GRLwood
Luna Blake,spotify:track:1WVWOXTueYeeYfBiGMOIjW,spotify:artist:0nlxwhgmNOqEDUWIrcwghr,Horizon,spotify:album:6OqF1S8uGM58BSIjHkXTU4,203880,Horizon,Luna Blake
The xx,spotify:track:5CPqOpKSk0QcJ3dGdaWcRB,spotify:artist:3iOvXCl6edW5Um0fXEBRXy,On Hold,spotify:album:2PXy9USZAoTSdtrxfkPBnl,224133,I See You,The xx
Jen Foster,spotify:track:7j3lAZQJpUHTT1DfXQKnER,spotify:artist:4Nwq3oDSohIu7XBy5Df53C,I Didn't Just Kiss Her,spotify:album:0bzg4rGEpLGz6VeIMCf7pB,181733,The White Room Sessions,Jen Foster
