,Unnamed: 0,artist_name,track_uri,artist_uri,track_name,album_uri,duration,album_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_pop,genres,track_pop
78,75,Lex Allen,6Fcbxir33raTejFj909F77,spotify:artist:7atE55vExM4e6UD6ZqpqMa,Bitch U Fabulous,spotify:album:3ZZvR0UIyib6ncOiWHuwCB,186000,Table 7: Sinners & Saints,Lex Allen,0.429,0.891,0,-5.039,1,0.16,0.00244,0.000416,0.377,0.603,131.884,audio_features,6Fcbxir33raTejFj909F77,spotify:track:6Fcbxir33raTejFj909F77,https://api.spotify.com/v1/tracks/6Fcbxir33raTejFj909F77,https://api.spotify.com/v1/audio-analysis/6Fcbxir33raTejFj909F77,186000,4,1,milwaukee_hip_hop milwaukee_indie,0
79,76,Hercules & Love Affair,0AzqLBEmqqc7LpGbC2wLG9,spotify:artist:1WHoAjAWGx5qLsgzpaOk7W,I Try To Talk To You,spotify:album:7nzzw3jQeC2X1k9BdDI0Th,249839,The Feast Of The Broken Heart,"Hercules & Love Affair, John Grant",0.674,0.685,1,-9.16,1,0.0334,0.0182,0.108,0.16,0.647,120.01,audio_features,0AzqLBEmqqc7LpGbC2wLG9,spotify:track:0AzqLBEmqqc7LpGbC2wLG9,https://api.spotify.com/v1/tracks/0AzqLBEmqqc7LpGbC2wLG9,https://api.spotify.com/v1/audio-analysis/0AzqLBEmqqc7LpGbC2wLG9,249840,4,47,alternative_dance art_pop electroclash electronica new_rave nu_disco,0
80,77,Adam Joseph,7rEANZC972dKQoM1OjZz2d,spotify:artist:2Dymd4r1i4EfE8iooyCi1L,Linda Evangelista (feat. Aja),spotify:album:2CAcUQnQMU4x8lqH3vdd3a,196875,Linda Evangelista,"Adam Joseph, Aja",0.778,0.801,7,-7.614,1,0.196,0.0033,7.01e-06,0.342,0.846,127.981,audio_features,7rEANZC972dKQoM1OjZz2d,spotify:track:7rEANZC972dKQoM1OjZz2d,https://api.spotify.com/v1/tracks/7rEANZC972dKQoM1OjZz2d,https://api.spotify.com/v1/audio-analysis/7rEANZC972dKQoM1OjZz2d,196875,4,29,strut,34
81,78,Will Young,3ncFFKyZYIfiWNaOqvSUKz,spotify:artist:2U6gqwyl9F33YxawnFrZG7,Light My Fire,spotify:album:6cX5XwYMwa4AoYC6Eyy25j,209826,From Now On,Will Young,0.77,0.796,6,-7.333,1,0.0316,0.226,1.67e-06,0.139,0.846,106.899,audio_features,3ncFFKyZYIfiWNaOqvSUKz,spotify:track:3ncFFKyZYIfiWNaOqvSUKz,https://api.spotify.com/v1/tracks/3ncFFKyZYIfiWNaOqvSUKz,https://api.spotify.com/v1/audio-analysis/3ncFFKyZYIfiWNaOqvSUKz,209827,4,50,australian_pop dance_pop europop new_wave_pop uk_pop,46
82,79,Vampire Weekend,5dKBaysNJtfpyNTRa5lqDb,spotify:artist:5BvJzeQpmsdsFp4HGUYUEx,A-Punk,spotify:album:5oXBmKbyJeQftWMo87cQ9F,137760,Vampire Weekend,Vampire Weekend,0.551,0.821,2,-4.489,1,0.0539,0.0102,0.0438,0.153,0.842,174.923,audio_features,5dKBaysNJtfpyNTRa5lqDb,spotify:track:5dKBaysNJtfpyNTRa5lqDb,https://api.spotify.com/v1/tracks/5dKBaysNJtfpyNTRa5lqDb,https://api.spotify.com/v1/audio-analysis/5dKBaysNJtfpyNTRa5lqDb,137760,4,65,baroque_pop indie_rock modern_rock,2
83,80,Ty Herndon,5am4DKPeHi3aLPzEtqPBAZ,spotify:artist:1Fj0R2t4HaJa3oUe8azB8R,What Mattered Most,spotify:album:6JaWECEWqHuJzq0ir3HL30,220866,This Is Ty Herndon: Greatest Hits,Ty Herndon,0.531,0.5,0,-8.94,1,0.026,0.429,0.0,0.164,0.27,142.382,audio_features,5am4DKPeHi3aLPzEtqPBAZ,spotify:track:5am4DKPeHi3aLPzEtqPBAZ,https://api.spotify.com/v1/tracks/5am4DKPeHi3aLPzEtqPBAZ,https://api.spotify.com/v1/audio-analysis/5am4DKPeHi3aLPzEtqPBAZ,220867,4,39,country country_road country_rock,32
84,81,Erasure,2RVQIq7bLi4Eu6xHPyQ46t,spotify:artist:0z5DFXmhT4ZNzWElsM7V89,A Little Respect,spotify:album:7BS88XlHgbYq4bEnO6sICd,213373,The Innocents,Erasure,0.596,0.598,0,-13.409,1,0.0268,0.00808,3.07e-06,0.241,0.595,113.825,audio_features,2RVQIq7bLi4Eu6xHPyQ46t,spotify:track:2RVQIq7bLi4Eu6xHPyQ46t,https://api.spotify.com/v1/tracks/2RVQIq7bLi4Eu6xHPyQ46t,https://api.spotify.com/v1/audio-analysis/2RVQIq7bLi4Eu6xHPyQ46t,213373,4,60,new_romantic new_wave new_wave_pop synthpop,63
85,82,Eli Lieb,4NWGK3Shpzn6xy8y413taO,spotify:artist:2SLFbFpW4nXuc76m37gTfy,Safe in My Hands,spotify:album:17sIiwi6n87jCKk8mEO20T,201355,Safe in My Hands,Eli Lieb,0.52,0.695,3,-7.035,1,0.0343,0.255,2.32e-05,0.14,0.388,117.965,audio_features,4NWGK3Shpzn6xy8y413taO,spotify:track:4NWGK3Shpzn6xy8y413taO,https://api.spotify.com/v1/tracks/4NWGK3Shpzn6xy8y413taO,https://api.spotify.com/v1/audio-analysis/4NWGK3Shpzn6xy8y413taO,201356,4,33,unknown,40
86,83,Lil Peep,7hf89cT5FEmLV5E9fjrjG7,spotify:artist:2kCcBybjl3SAtIcwdWpUe3,beamer boy,spotify:album:69nnJOr40uKMOFvB1sSKLp,203373,beamer boy,"Lil Peep, Nedarb",0.743,0.732,8,-4.511,1,0.104,0.0509,1.77e-05,0.227,0.339,123.994,audio_features,7hf89cT5FEmLV5E9fjrjG7,spotify:track:7hf89cT5FEmLV5E9fjrjG7,https://api.spotify.com/v1/tracks/7hf89cT5FEmLV5E9fjrjG7,https://api.spotify.com/v1/audio-analysis/7hf89cT5FEmLV5E9fjrjG7,203373,4,80,emo_rap lgbtq+_hip_hop,74
87,84,Sebastian Castro,2LiHG9iCXfu3BwvDxCZrpL,spotify:artist:6ZzH0oXkfj1TLWO8pDrkWi,You're Gay,spotify:album:07RREvtvQaa32GyvvSPPCh,189936,S.E.B.,Sebastian Castro,0.692,0.858,0,-5.283,1,0.123,0.00182,0.0,0.32,0.889,157.026,audio_features,2LiHG9iCXfu3BwvDxCZrpL,spotify:track:2LiHG9iCXfu3BwvDxCZrpL,https://api.spotify.com/v1/tracks/2LiHG9iCXfu3BwvDxCZrpL,https://api.spotify.com/v1/audio-analysis/2LiHG9iCXfu3BwvDxCZrpL,189936,4,10,unknown,12
88,85,Wrabel,3vHTlIT5uIilAFf6Cy69tr,spotify:artist:7r2uG6BlFXKcwmh9ItqlII,Bloodstain,spotify:album:3zRgSbaggJiEhh8IeZtAfG,168093,Bloodstain,Wrabel,0.564,0.668,6,-6.578,0,0.0442,0.0244,1.15e-05,0.168,0.32,79.99,audio_features,3vHTlIT5uIilAFf6Cy69tr,spotify:track:3vHTlIT5uIilAFf6Cy69tr,https://api.spotify.com/v1/tracks/3vHTlIT5uIilAFf6Cy69tr,https://api.spotify.com/v1/audio-analysis/3vHTlIT5uIilAFf6Cy69tr,168094,4,62,alt_z australian_pop electropop indie_poptimism indiecoustica neo_mellow pop pop_rock,46
89,86,Dead Or Alive,0BB9eUBBaaX6GALSYNcEp7,spotify:artist:5WWSL6rElJeUk3Uc1S2RyD,You Spin Me Round (Like a Record),spotify:album:0HEKWtu7St3tKgZDKZsX90,196800,Youthquake,Dead Or Alive,0.554,0.851,6,-10.526,0,0.0334,0.006,0.0242,0.405,0.96,128.103,audio_features,0BB9eUBBaaX6GALSYNcEp7,spotify:track:0BB9eUBBaaX6GALSYNcEp7,https://api.spotify.com/v1/tracks/0BB9eUBBaaX6GALSYNcEp7,https://api.spotify.com/v1/audio-analysis/0BB9eUBBaaX6GALSYNcEp7,196800,4,60,hi-nrg new_romantic new_wave new_wave_pop synthpop,0
90,87,Jake Shears,0yQZ4BDiqzrMIlypQqkHRa,spotify:artist:6prqlx3RqGdTYsXANXDCR1,Creep City,spotify:album:5llyvamnmMUvWePjTxQPM5,205186,Creep City,Jake Shears,0.568,0.829,5,-3.86,0,0.03,0.182,2.13e-05,0.0688,0.785,91.983,audio_features,0yQZ4BDiqzrMIlypQqkHRa,spotify:track:0yQZ4BDiqzrMIlypQqkHRa,https://api.spotify.com/v1/tracks/0yQZ4BDiqzrMIlypQqkHRa,https://api.spotify.com/v1/audio-analysis/0yQZ4BDiqzrMIlypQqkHRa,205187,4,34,electropop,16
91,88,Rainbow Kitten Surprise,0ZAbupc7jAQpG9IxojQ3s3,spotify:artist:4hz8tIajF2INpgM0qzPJz2,Cocaine Jesus,spotify:album:2aaWMtuGxw17AZpKhZGdXQ,229666,RKS,Rainbow Kitten Surprise,0.822,0.362,2,-7.462,1,0.0411,0.16,0.0,0.313,0.159,119.903,audio_features,0ZAbupc7jAQpG9IxojQ3s3,spotify:track:0ZAbupc7jAQpG9IxojQ3s3,https://api.spotify.com/v1/tracks/0ZAbupc7jAQpG9IxojQ3s3,https://api.spotify.com/v1/audio-analysis/0ZAbupc7jAQpG9IxojQ3s3,229667,4,67,modern_rock,70
92,89,Ten Ven,5mwd7PvG7Q3sBBv85FIAVO,spotify:artist:0ZSLz27xUnI816MMtYfLMI,1 Bad Bitch,spotify:album:4miR8VuZxBISHa6WjrZwNE,301950,1 Bad Bitch (Ten Ven & Ripley Vs. Zebra Katz),"Ten Ven, Ripley, Zebra Katz",0.789,0.56,3,-10.029,0,0.0445,0.0437,0.297,0.0689,0.143,122.982,audio_features,5mwd7PvG7Q3sBBv85FIAVO,spotify:track:5mwd7PvG7Q3sBBv85FIAVO,https://api.spotify.com/v1/tracks/5mwd7PvG7Q3sBBv85FIAVO,https://api.spotify.com/v1/audio-analysis/5mwd7PvG7Q3sBBv85FIAVO,301950,4,32,unknown,7
93,90,MRSHLL,36YtYKhuTSPwitgehk8f8G,spotify:artist:0seQaFC4HsYcxj5o27Ls45,COME OVER,spotify:album:5Hke2HhBqfrLagtC72bOFN,260000,breathe,"MRSHLL, pH-1",0.744,0.524,11,-8.773,0,0.0948,0.374,6.05e-06,0.103,0.579,105.023,audio_features,36YtYKhuTSPwitgehk8f8G,spotify:track:36YtYKhuTSPwitgehk8f8G,https://api.spotify.com/v1/tracks/36YtYKhuTSPwitgehk8f8G,https://api.spotify.com/v1/audio-analysis/36YtYKhuTSPwitgehk8f8G,260000,4,35,korean_r&b,11
