,artist_name,track_uri,artist_uri,track_name,album_uri,duration,album_name,artists
461,Tracy Chapman,spotify:track:2M9ro2krNb7nr7HSprkEgo,spotify:artist:7oPgCQqMMXEXrNau5vxYZP,Fast Car,spotify:album:6hmmX5UP4rIvOpGSaPerV8,296800,Tracy Chapman,Tracy Chapman
462,Frankie Simone,spotify:track:7IgUWG8jL087IoXsQOfnjm,spotify:artist:1QNIcC3tJ4EKXsCKnqwajy,Queer,spotify:album:7quK0eqINhOVQRZUuSZ6Qa,187105,LOVE//WARRIOR,Frankie Simone
463,Zolita,spotify:track:2IUZ5ifH9R13RoK8X70lgF,spotify:artist:7nnTzZ5tZrPx14iDnmjksU,Come Home With Me,spotify:album:5BfoUXzblFJcVAqIjy3rJx,216971,Sappho,Zolita
464,The Veronicas,spotify:track:7MFvqBJ3ozTwDrf5VfoW8U,spotify:artist:1dIdBZaaHRW2bDTkHNfWln,Take Me on the Floor,spotify:album:6aL2SwYj5kSEvIcYORHP37,210480,Hook Me Up,The Veronicas
465,Gina Young,spotify:track:5XUZUnnvjObWveOA9fpO7L,spotify:artist:0U64coxrK2Wm5s2PmApkBn,So-Called Str8 Grrrl,spotify:album:4UH7wsiFLZ6yvw24HGzh1J,124653,Intractable,Gina Young
466,Kate Nash,spotify:track:1BQDCBf8fep2LdWAl1yeZw,spotify:artist:5vBKu1igxFo6g1sHADkIdg,I Wanna Boyfriend With a Car,spotify:album:6W36GnLwIweZmrBvLXI6j5,148680,Death Proof - EP,Kate Nash
467,Gia Woods,spotify:track:6Xaf3HcFJhY0P2KjRDEKgs,spotify:artist:6T56xtTEllGW17snjAZLNP,Only a Girl,spotify:album:6pki2j5FzShqZoojdjCjvM,213159,Only a Girl,Gia Woods
468,Lauren Sanderson,spotify:track:4dWz6JF3aahRCT8StKWYO9,spotify:artist:06vRrrjT3DBRkhBlXoBdYj,Palm Springs,spotify:album:7j27icwywFox6FrTxTDTxP,170397,Center of Expression,Lauren Sanderson
469,"Now, Now",spotify:track:3opSfLvpDbZVG0ecreiL4M,spotify:artist:6ZitSwtBSGqj00w11GvMU3,SGL,spotify:album:3wat6tT5YMZ1f8cuyBxRTm,194437,SGL,"Now, Now"
470,GRLwood,spotify:track:4b1AVfnXbweineQSzN6XaP,spotify:artist:0yrzVTuk6PgF51NYgfgKXe,Bisexual,spotify:album:4l3AvPlLKKJNUhYyce9ZQa,120341,Bisexual,GRLwood
471,Luna Blake,spotify:track:1WVWOXTueYeeYfBiGMOIjW,spotify:artist:0nlxwhgmNOqEDUWIrcwghr,Horizon,spotify:album:6OqF1S8uGM58BSIjHkXTU4,203880,Horizon,Luna Blake
