artist_name,id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_pop,genres,track_pop,genres_list,subjectivity,polarity
Idman,2x93RFNdEs1JtWoHsDQqTj,Down For It,0.637,0.567,1,-6.659,1,0.0655,0.404,1.92e-06,0.359,0.398,84.004,30,unknown,26,['unknown'],low,Negative
Ivy Sole,52tFvypUPX3uDgVgqrNtY9,BITTERSWEET,0.469,0.427,10,-13.168,0,0.368,0.249,1.93e-05,0.097,0.399,67.558,42,alternative_r&b escape_room indie_r&b indie_soul north_carolina_hip_hop,38,"['alternative_r&b', 'escape_room', 'indie_r&b', 'indie_soul', 'north_carolina_hip_hop']",low,Neutral
"Tyler, The Creator",1nXZnTALNXiPlvXotqHm66,A BOY IS A GUN*,0.417,0.689,2,-8.302,0,0.178,0.575,0.0,0.496,0.505,79.568,84,hip_hop rap,72,"['hip_hop', 'rap']",low,Neutral
Jak Woodlawn,1TWpOB7BLuIorpmpDUv0F3,Quiet Moments,0.52,0.184,2,-18.477,1,0.0354,0.94,0.116,0.113,0.809,137.972,0,unknown,2,['unknown'],medium,Neutral
Owen Duff,5iHQoiyRqsOG44KauiLPy4,In Loving Memory,0.328,0.155,0,-14.516,1,0.0383,0.957,0.000806,0.116,0.235,91.415,7,unknown,0,['unknown'],high,Positive
Caleb Nichols,1AKdzAiB3jSS047gZFcGKq,Ramon,0.455,0.261,1,-13.033,1,0.0363,0.957,0.0242,0.101,0.384,154.698,13,unknown,17,['unknown'],low,Neutral
Clairo,34q8siON3Dxf5HFVt3pynf,Blouse,0.319,0.109,7,-20.638,1,0.0366,0.948,0.000544,0.144,0.388,144.93,74,bedroom_pop indie_pop pop,52,"['bedroom_pop', 'indie_pop', 'pop']",low,Neutral
Morrissey,2hkXOllf2hBoz4DlM1UTwQ,Dear God Please Help Me,0.158,0.383,0,-12.086,1,0.0329,0.716,0.0198,0.112,0.0427,178.413,58,britpop madchester new_wave permanent_wave pop_rock rock solo_wave,27,"['britpop', 'madchester', 'new_wave', 'permanent_wave', 'pop_rock', 'rock', 'solo_wave']",low,Neutral
Solo,4QzPcxNtLI8gvudQ3DI6qn,Boys,0.648,0.353,2,-11.289,0,0.0333,0.836,0.0,0.0939,0.169,112.055,31,unknown,27,['unknown'],low,Neutral
carpetgarden,5rffwMI9mXlXJimHmIGzYQ,Can Ghosts Be Gay?,0.459,0.318,9,-13.328,1,0.0277,0.925,0.000407,0.0898,0.239,168.82,53,indie_pop,42,['indie_pop'],high,Positive
Roger Perelló,3A5BDFnsBcz98Hto5Ov9Rn,Butterflies,0.627,0.196,3,-15.894,1,0.0332,0.866,0.000239,0.113,0.175,118.791,8,unknown,23,['unknown'],low,Neutral
River Westin,0uGyJ7DgUHEuRGXNh8AahX,Sweetheart - Lofi Version,0.779,0.39,2,-9.811,1,0.0487,0.703,0.00421,0.482,0.341,67.983,17,unknown,5,['unknown'],low,Neutral
Cub Sport,6lOHJvk1ss3cH42PlxyLvo,Come on Mess Me Up,0.344,0.592,4,-5.582,1,0.0323,0.0626,5.98e-06,0.13,0.0396,149.724,52,australian_indie australian_indie_rock australian_pop brisbane_indie,16,"['australian_indie', 'australian_indie_rock', 'australian_pop', 'brisbane_indie']",low,Negative
BAYWUD,7iAh3rCwr3VprPZ9fjdNb4,In The Arms Of Silence,0.558,0.51,9,-9.402,1,0.0245,0.181,0.0,0.0955,0.308,92.969,13,unknown,10,['unknown'],low,Neutral
Pillow Fite,79i8uK37k2NxmjR8Rqym7G,Alkali,0.511,0.955,2,-4.645,1,0.0826,0.00122,2.31e-06,0.38,0.72,145.018,4,unknown,5,['unknown'],low,Neutral
Owen Duff,0LaDyYPN6uurztgKw6Qatf,Our Bed Is a Graveyard,0.679,0.336,7,-13.908,0,0.0381,0.822,0.373,0.116,0.0377,111.03,7,unknown,0,['unknown'],low,Neutral
Claud,7w76n5UvwlGrjZsgFm8ZYl,Tommy,0.534,0.29,1,-11.497,1,0.0308,0.942,7.31e-05,0.114,0.13,125.941,52,bedroom_pop indie_pop,46,"['bedroom_pop', 'indie_pop']",low,Neutral
Rufus Wainwright,5LMsuO1FZG13KXW7csNblJ,Gay Messiah,0.314,0.347,7,-9.825,1,0.0326,0.521,0.0,0.344,0.237,120.265,52,canadian_pop chamber_pop melancholia piano_rock singer-songwriter,10,"['canadian_pop', 'chamber_pop', 'melancholia', 'piano_rock', 'singer-songwriter']",high,Positive
Jessye DeSilva,7qc5uVtHzEqIeUq8iLO9Dy,Worry,0.631,0.546,7,-8.957,1,0.0306,0.569,0.0,0.105,0.426,98.082,4,unknown,5,['unknown'],low,Neutral
Faae,1HWcS0unMHA0TpKwhJ1Hpe,marsupial,0.553,0.171,3,-13.965,0,0.0326,0.819,7.16e-06,0.0864,0.459,153.703,1,unknown,8,['unknown'],low,Neutral
Finn Anderson,6RGo5hYe6mD2IVrTXb3mzg,River Won't Wait,0.533,0.172,4,-14.54,1,0.0344,0.885,0.135,0.112,0.49,139.957,22,unknown,2,['unknown'],low,Neutral
Jake Wesley Rogers,6HJ7S4vJcNeqSRrS4jLJia,Under the Sun,0.522,0.585,3,-7.267,1,0.031,0.647,5.03e-05,0.351,0.693,76.99,42,modern_alternative_pop,30,['modern_alternative_pop'],low,Neutral
John Grant,6Svc1fdIJ0PteZXQ4TF6Lv,County Fair - Edit,0.545,0.588,7,-7.279,1,0.0284,0.159,9.31e-06,0.154,0.231,130.018,42,chamber_psych,10,['chamber_psych'],high,Positive
The Lazours,6bthOMjeEidMtM8hXRhHnh,Fran,0.58,0.253,0,-15.546,1,0.0302,0.857,0.437,0.111,0.283,101.909,3,unknown,2,['unknown'],low,Neutral
Jake Wesley Rogers,5DPwVhgevj57PZ3LlBMeVs,The Pretender,0.546,0.217,2,-13.558,1,0.0314,0.719,0.0,0.245,0.346,108.129,42,modern_alternative_pop,32,['modern_alternative_pop'],low,Neutral
Pikes,4TqEoafKpX51TnO21qHMzg,Thylacine,0.562,0.122,7,-18.338,1,0.033,0.446,9.18e-05,0.163,0.0789,107.142,24,unknown,0,['unknown'],low,Neutral
Zoe Konez,0OYQ24ngz67JFs4GNWA3KL,My One Love,0.439,0.148,11,-16.61,0,0.0649,0.768,1.35e-05,0.228,0.131,171.735,19,unknown,24,['unknown'],high,Positive
Kristóf Hajós,4Ee40EHrdpT2agDeuVYYNx,Love is Cancelled,0.746,0.51,6,-9.378,1,0.0288,0.566,0.299,0.165,0.621,125.046,5,unknown,1,['unknown'],high,Positive
boy cam,4A74rEokmBC1nXf1wtMmqi,I'm Happy Now,0.577,0.43,4,-12.564,1,0.0355,0.526,0.469,0.11,0.147,124.482,19,unknown,22,['unknown'],high,Positive
