artist_name,id,track_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist_pop,genres,track_pop,genres_list,subjectivity,polarity
Catey Shaw,6AWNMwzTLtF3OOhuekWvCW,Night Go Slow,0.635,0.44,2,-10.119,1,0.0294,0.629,0.000287,0.101,0.284,125.088,36,indie_poptimism,36,['indie_poptimism'],high,Negative
Mary Lambert,2px10xaPpeVd2bLLZBGBD9,Know Your Name,0.734,0.771,10,-4.859,1,0.0329,0.0127,0.000165,0.0827,0.796,145.942,50,neo_mellow pop,32,"['neo_mellow', 'pop']",low,Neutral
Lady Gaga,554PnB96IltLzVlbinBstw,Hey Girl,0.754,0.451,10,-7.882,1,0.038,0.0562,6.5e-06,0.0688,0.622,138.024,83,art_pop dance_pop pop,51,"['art_pop', 'dance_pop', 'pop']",low,Neutral
Ani DiFranco,2nBB42lNmkh8qlzEUOmEwI,If It Isn't Her,0.698,0.484,0,-13.79,0,0.0717,0.795,1.93e-05,0.176,0.701,120.405,46,anti-folk buffalo_ny_indie ectofolk lilith new_wave_pop singer-songwriter women's_music,23,"['anti-folk', 'buffalo_ny_indie', 'ectofolk', 'lilith', 'new_wave_pop', 'singer-songwriter', ""women's_music""]",low,Neutral
Tegan and Sara,0euRZeEKvdbptPpebwDtLc,Boyfriend,0.686,0.771,9,-5.697,0,0.0705,0.0254,0.000138,0.107,0.393,123.985,56,canadian_indie indie_pop lilith metropopolis permanent_wave,45,"['canadian_indie', 'indie_pop', 'lilith', 'metropopolis', 'permanent_wave']",low,Neutral
Hayley Kiyoko,5btaVjrLBxTvXNmCv5DrW2,Curious,0.788,0.703,1,-5.986,0,0.127,0.0753,6.13e-05,0.333,0.442,104.049,62,alt_z art_pop dance_pop electropop indie_pop indie_poptimism pop post-teen_pop,59,"['alt_z', 'art_pop', 'dance_pop', 'electropop', 'indie_pop', 'indie_poptimism', 'pop', 'post-teen_pop']",high,Negative
Halsey,2TBQoW7s6iwKcg139ssqie,Bad At Love,0.664,0.753,0,-3.589,1,0.0323,0.057,0.0,0.088,0.54,118.253,82,dance_pop electropop etherpop indie_poptimism pop,0,"['dance_pop', 'electropop', 'etherpop', 'indie_poptimism', 'pop']",high,Negative
Etta Bond,0Ge1HubxyHeLkpkb3OTmnU,Kiss My Girlfriend,0.827,0.363,1,-7.956,1,0.353,0.108,0.0064,0.0687,0.66,74.997,45,alternative_r&b chill_r&b indie_r&b indie_soul uk_contemporary_r&b,24,"['alternative_r&b', 'chill_r&b', 'indie_r&b', 'indie_soul', 'uk_contemporary_r&b']",low,Neutral
Sophie B. Hawkins,0RmEn2jcbyrLV4em3bnDZJ,Damn I Wish I Was Your Lover,0.563,0.806,2,-6.826,1,0.0496,0.281,1.49e-05,0.363,0.42,95.188,45,lilith new_wave_pop pop_rock,51,"['lilith', 'new_wave_pop', 'pop_rock']",low,Neutral
St. Vincent,1mVj7sdHn0zjcjON0v1ShS,And Then She Kissed Me,0.5,0.862,11,-7.508,1,0.0766,0.68,0.0,0.145,0.859,87.47,62,art_pop electropop etherpop indie_pop metropopolis,40,"['art_pop', 'electropop', 'etherpop', 'indie_pop', 'metropopolis']",low,Neutral
dodie,4hjbxjZpJ8H6qRCzDOGI0M,Sick of Losing Soulmates,0.492,0.236,2,-17.224,1,0.0359,0.723,0.159,0.351,0.151,75.102,60,alt_z indie_pop pop,57,"['alt_z', 'indie_pop', 'pop']",high,Negative
PVRIS,7eN3lGwu6SSmwYGH9PlpYa,Heaven,0.45,0.84,5,-5.938,1,0.0713,0.0189,0.0251,0.139,0.185,124.821,62,modern_alternative_rock modern_rock pixie pop pop_emo pop_punk rock,43,"['modern_alternative_rock', 'modern_rock', 'pixie', 'pop', 'pop_emo', 'pop_punk', 'rock']",low,Neutral
Tove Lo,1TIiWomS4i0Ikaf9EKdcLn,disco tits,0.79,0.728,7,-6.523,1,0.0612,0.025,0.00106,0.172,0.333,110.059,73,dance_pop electropop metropopolis pop swedish_electropop swedish_pop swedish_synthpop uk_pop,64,"['dance_pop', 'electropop', 'metropopolis', 'pop', 'swedish_electropop', 'swedish_pop', 'swedish_synthpop', 'uk_pop']",low,Neutral
Kesha,0nv25WB0VNBeec3XLvp0fg,I Need a Woman to Love,0.405,0.703,4,-7.885,0,0.0417,0.00702,5.44e-05,0.0728,0.734,183.897,76,dance_pop electropop pop post-teen_pop,33,"['dance_pop', 'electropop', 'pop', 'post-teen_pop']",high,Positive
Tracy Chapman,2M9ro2krNb7nr7HSprkEgo,Fast Car,0.711,0.292,4,-15.523,0,0.037,0.313,0.0,0.131,0.194,103.951,66,folk lilith singer-songwriter women's_music,78,"['folk', 'lilith', 'singer-songwriter', ""women's_music""]",high,Positive
Frankie Simone,7IgUWG8jL087IoXsQOfnjm,Queer,0.693,0.718,2,-6.535,1,0.0318,0.0016,0.00598,0.265,0.27,95.061,13,portland_hip_hop,0,['portland_hip_hop'],low,Neutral
Zolita,2IUZ5ifH9R13RoK8X70lgF,Come Home With Me,0.51,0.546,9,-8.481,0,0.0445,0.191,0.0,0.143,0.183,141.922,51,alt_z electropop indie_poptimism pop,38,"['alt_z', 'electropop', 'indie_poptimism', 'pop']",low,Neutral
The Veronicas,7MFvqBJ3ozTwDrf5VfoW8U,Take Me on the Floor,0.61,0.9,11,-2.304,0,0.0453,0.00345,7.86e-06,0.272,0.621,139.969,56,australian_pop australian_talent_show candy_pop dance_pop electropop girl_group pop post-teen_pop,47,"['australian_pop', 'australian_talent_show', 'candy_pop', 'dance_pop', 'electropop', 'girl_group', 'pop', 'post-teen_pop']",low,Neutral
Gina Young,5XUZUnnvjObWveOA9fpO7L,So-Called Str8 Grrrl,0.238,0.513,4,-11.355,1,0.0514,0.00167,0.000211,0.298,0.605,84.489,20,queercore riot_grrrl,36,"['queercore', 'riot_grrrl']",low,Neutral
Kate Nash,1BQDCBf8fep2LdWAl1yeZw,I Wanna Boyfriend With a Car,0.375,0.889,9,-5.039,1,0.0393,0.00051,0.117,0.0505,0.552,94.433,51,anti-folk electropop piano_rock,18,"['anti-folk', 'electropop', 'piano_rock']",low,Neutral
Gia Woods,6Xaf3HcFJhY0P2KjRDEKgs,Only a Girl,0.627,0.472,4,-4.083,0,0.0588,0.144,0.0,0.0851,0.188,168.017,42,alt_z indie_electropop uk_pop,46,"['alt_z', 'indie_electropop', 'uk_pop']",high,Neutral
Lauren Sanderson,4dWz6JF3aahRCT8StKWYO9,Palm Springs,0.673,0.769,0,-6.732,0,0.293,0.252,0.0,0.298,0.736,82.063,50,alt_z pop,0,"['alt_z', 'pop']",low,Neutral
"Now, Now",3opSfLvpDbZVG0ecreiL4M,SGL,0.747,0.651,9,-4.155,1,0.0325,0.029,0.472,0.0848,0.913,119.951,44,dreamo indie_pop minneapolis_indie,0,"['dreamo', 'indie_pop', 'minneapolis_indie']",low,Neutral
GRLwood,4b1AVfnXbweineQSzN6XaP,Bisexual,0.596,0.927,11,-6.241,0,0.0727,0.0142,0.00913,0.0665,0.641,132.984,54,louisville_indie,29,['louisville_indie'],low,Neutral
Luna Blake,1WVWOXTueYeeYfBiGMOIjW,Horizon,0.38,0.414,0,-9.781,1,0.0371,0.263,0.0113,0.0736,0.222,116.319,20,unknown,26,['unknown'],low,Neutral
The xx,5CPqOpKSk0QcJ3dGdaWcRB,On Hold,0.723,0.669,0,-6.784,1,0.0348,0.0522,0.192,0.109,0.35,125.051,64,downtempo dream_pop indietronica,0,"['downtempo', 'dream_pop', 'indietronica']",low,Neutral
Jen Foster,7j3lAZQJpUHTT1DfXQKnER,I Didn't Just Kiss Her,0.713,0.634,7,-6.657,0,0.0788,0.0527,0.0,0.0614,0.536,76.0,23,lilith,41,['lilith'],low,Neutral
Cœur De Pirate,3BROl8FUuHPJ6Swvv29PFi,Prémonition,0.717,0.712,0,-7.26,1,0.0443,0.206,0.00241,0.0992,0.882,117.965,56,chanson french_pop nouvelle_chanson_francaise,37,"['chanson', 'french_pop', 'nouvelle_chanson_francaise']",low,Neutral
Sia,4VcmwsJTnbO8Q9ABYnNAiE,The Greatest,0.639,0.785,10,-6.167,0,0.175,0.0175,0.00106,0.0512,0.685,191.951,82,australian_dance australian_pop pop,0,"['australian_dance', 'australian_pop', 'pop']",high,Positive
King Princess,53jbdPQBaH6WaQvW0zmGBs,Talia,0.401,0.507,2,-7.001,1,0.089,0.549,0.0,0.164,0.236,180.159,61,alt_z art_pop dance_pop electropop indie_pop indie_poptimism nyc_pop pop,62,"['alt_z', 'art_pop', 'dance_pop', 'electropop', 'indie_pop', 'indie_poptimism', 'nyc_pop', 'pop']",low,Neutral
Courtney Barnett,78WZjgNZuIEb8yOQOOvbA1,Charity,0.481,0.815,1,-5.392,0,0.0387,0.00251,0.0,0.0857,0.482,133.954,54,australian_indie indie_pop indie_rock melbourne_indie,0,"['australian_indie', 'indie_pop', 'indie_rock', 'melbourne_indie']",low,Neutral
Donna Missal,4tjiivmWTWMLeFiLDuQpdG,Girl,0.715,0.354,4,-8.062,0,0.0436,0.341,1.91e-05,0.19,0.355,118.005,44,electropop la_pop,20,"['electropop', 'la_pop']",low,Neutral
k.d. lang,0wCrg1LhgPcGMw51qqpI6k,Constant Craving,0.6,0.77,5,-5.559,0,0.0302,0.0603,4.79e-06,0.0967,0.321,128.473,49,canadian_country canadian_pop canadian_singer-songwriter folk folk_rock lilith mellow_gold new_wave_pop permanent_wave queer_country singer-songwriter women's_music,57,"['canadian_country', 'canadian_pop', 'canadian_singer-songwriter', 'folk', 'folk_rock', 'lilith', 'mellow_gold', 'new_wave_pop', 'permanent_wave', 'queer_country', 'singer-songwriter', ""women's_music""]",medium,Neutral
The Aces,5YY6Z7YnjGOPxYy8ooZmLC,Volcanic Love,0.439,0.819,6,-4.253,1,0.0751,0.0134,0.0,0.2,0.567,179.885,53,alt_z electropop indie_pop indie_poptimism pop uk_pop,47,"['alt_z', 'electropop', 'indie_pop', 'indie_poptimism', 'pop', 'uk_pop']",high,Positive
Shannon Saunders,4A6tXDSHlNmSVGAhYjM3jq,Atlas,0.476,0.441,6,-10.14,0,0.0985,0.0943,0.00222,0.102,0.0411,166.001,41,movie_tunes,37,['movie_tunes'],low,Neutral
Kelela,1IMXP55WFCNNKWN1iyjhim,Onanon,0.451,0.554,7,-8.162,1,0.0673,0.343,0.00362,0.131,0.204,127.394,46,afrofuturism alternative_r&b art_pop electropop escape_room experimental_r&b indie_soul pop r&b,32,"['afrofuturism', 'alternative_r&b', 'art_pop', 'electropop', 'escape_room', 'experimental_r&b', 'indie_soul', 'pop', 'r&b']",low,Neutral
Ji Nilsson,6fsDOOHoe0qH0GLB4Aqwqf,Proud,0.547,0.711,9,-6.19,0,0.163,0.0169,9.81e-06,0.0996,0.361,169.694,26,swedish_pop,7,['swedish_pop'],high,Positive
Austra,47XIhh2fd9Cwi7o9NhzbzD,Painful Like,0.699,0.651,5,-5.229,0,0.0308,0.039,0.00257,0.119,0.645,115.013,41,alternative_dance art_pop canadian_electropop chamber_psych chillwave electroclash electronica electropop metropopolis new_rave shimmer_pop,16,"['alternative_dance', 'art_pop', 'canadian_electropop', 'chamber_psych', 'chillwave', 'electroclash', 'electronica', 'electropop', 'metropopolis', 'new_rave', 'shimmer_pop']",high,Negative
Whitney Lindquist,1OvK0albaOlQp4in5SIo4W,Her,0.376,0.121,10,-15.272,1,0.0341,0.911,0.0,0.268,0.324,116.092,2,unknown,1,['unknown'],low,Neutral
Demi Lovato,73Qlt0XuhuYzEigjitm2ze,Cool for the Summer,0.587,0.62,5,-5.612,0,0.0366,0.00504,0.000181,0.0762,0.286,114.08,79,dance_pop pop post-teen_pop uk_pop,0,"['dance_pop', 'pop', 'post-teen_pop', 'uk_pop']",high,Positive
Alyson Stoner,2WSZRMMVKMdJG7S3KqrtlH,When It's Right,0.776,0.58,7,-6.11,1,0.0637,0.0654,3.71e-06,0.354,0.468,114.046,51,unknown,28,['unknown'],high,Positive
Nakala,4BfaaZIHfLSXwSVh4y96FX,OTT,0.791,0.449,9,-9.307,0,0.245,0.368,0.0,0.109,0.403,95.995,36,alternative_r&b chill_r&b indie_r&b uk_contemporary_r&b,9,"['alternative_r&b', 'chill_r&b', 'indie_r&b', 'uk_contemporary_r&b']",low,Neutral
Beth Ditto,5yHmkXEK225be9S7A5VpaF,I Wrote the Book,0.782,0.863,8,-3.565,0,0.0442,0.212,0.00544,0.138,0.956,123.014,36,electropop,39,['electropop'],low,Neutral
Avalon Young,0bRYfN2oTP0HcKA8WsBUQ7,Sweet Talk,0.51,0.416,2,-6.887,1,0.139,0.176,0.0,0.256,0.398,140.08,17,unknown,9,['unknown'],high,Positive
Tiffany Gouché,5Pc6e95PaTPy0RsnL9MBgb,Dive,0.462,0.488,5,-7.233,0,0.16,0.525,0.0,0.0684,0.56,99.511,43,alternative_r&b,0,['alternative_r&b'],low,Neutral
Young M.A,5rTA7RosLJvZZ3UrsYqV7F,Bonnie,0.712,0.68,9,-4.639,0,0.318,0.0445,0.0,0.586,0.595,80.006,61,lgbtq+_hip_hop nyc_rap pop_rap rap trap,35,"['lgbtq+_hip_hop', 'nyc_rap', 'pop_rap', 'rap', 'trap']",low,Neutral
be steadwell,49pJ5Y5tKtyhwrNCjTJ6PA,Netflix (feat. Asha Santee),0.8,0.178,11,-13.85,1,0.403,0.454,0.0,0.113,0.436,144.002,28,dc_indie escape_room women's_music,18,"['dc_indie', 'escape_room', ""women's_music""]",low,Neutral
Meshell Ndegeocello,7G7KEYi11RGKKBMOTS29pa,Sometimes It Snows in April,0.348,0.279,4,-13.652,1,0.0375,0.575,0.0767,0.111,0.0486,99.859,48,funk neo_soul,27,"['funk', 'neo_soul']",low,Neutral
Kodie Shane,7JmwjDvhHti8qvgGR2iuZv,Kissing Pink,0.635,0.321,2,-8.982,0,0.0797,0.248,0.00221,0.1,0.102,130.007,47,atl_hip_hop trap_queen,15,"['atl_hip_hop', 'trap_queen']",low,Negative
Savages,1Wq2ujMsdwMHDBkG1aCYCv,Husbands,0.297,0.86,6,-4.652,0,0.0391,3.22e-05,0.00252,0.06,0.146,176.145,31,garage_psych modern_alternative_rock,0,"['garage_psych', 'modern_alternative_rock']",low,Neutral
Daphne Willis,663uroxaoZPo9nuZYGibBA,Do It Like This,0.885,0.663,11,-7.712,1,0.0865,0.000516,0.378,0.0724,0.719,115.962,34,acoustic_pop bossbeat,44,"['acoustic_pop', 'bossbeat']",low,Neutral
The Harmaleighs,5dHtvNePlL1IkYOK6hi4ZP,Every Single Night,0.517,0.376,4,-7.172,0,0.0304,0.849,0.0,0.111,0.152,116.947,32,folk-pop pop_folk,10,"['folk-pop', 'pop_folk']",low,Negative
Melissa Ferrick,0N9Y3D354Co14ZckMT7VCu,Drive,0.774,0.35,2,-9.772,1,0.108,0.0111,0.592,0.0913,0.342,164.065,22,ectofolk lilith new_wave_pop women's_music,0,"['ectofolk', 'lilith', 'new_wave_pop', ""women's_music""]",low,Neutral
Miley Cyrus,6aP62822amG9iAvSIPffBr,She's Not Him,0.502,0.407,0,-6.331,1,0.0279,0.0992,0.0,0.116,0.299,75.945,81,dance_pop pop post-teen_pop,51,"['dance_pop', 'pop', 'post-teen_pop']",low,Neutral
Angel Haze,66Cl8DBb0lN92Zxc6DuzRe,Moonrise Kingdom,0.576,0.767,3,-6.929,0,0.145,0.31,0.00413,0.0954,0.197,151.962,40,escape_room hip_pop lgbtq+_hip_hop native_american_hip_hop transpop trap_queen,0,"['escape_room', 'hip_pop', 'lgbtq+_hip_hop', 'native_american_hip_hop', 'transpop', 'trap_queen']",low,Neutral
Sizzy Rocket,2mOUGinvOzTwfy0btUk0qp,Bestie,0.785,0.673,9,-6.288,1,0.04,0.0447,0.0,0.0848,0.626,123.019,39,alt_z indie_electropop indie_poptimism,0,"['alt_z', 'indie_electropop', 'indie_poptimism']",low,Neutral
Pia Mia,6fhWH0doyn7cSOgjgsuLPh,"Hold On, We're Going Home",0.458,0.572,6,-6.837,1,0.0969,0.154,1.4e-05,0.117,0.344,89.261,61,dance_pop pop pop_r&b post-teen_pop r&b uk_pop urban_contemporary,59,"['dance_pop', 'pop', 'pop_r&b', 'post-teen_pop', 'r&b', 'uk_pop', 'urban_contemporary']",low,Neutral
Moaning Lisa,7F80RFbX4viYZvkGGlbqov,Carrie (I Want A Girl),0.198,0.551,2,-5.873,1,0.0367,0.00453,0.000825,0.297,0.43,82.708,20,australian_garage_punk canberra_indie,0,"['australian_garage_punk', 'canberra_indie']",low,Neutral
Lipstick Homicide,4MYEpjYsQ4EdKnUQAp3v1V,Rockerchick,0.36,0.875,9,-6.17,1,0.0478,5.06e-05,0.00128,0.0932,0.79,98.314,7,unknown,14,['unknown'],low,Neutral
Jessica Manning,4PNQULKmjgECmNIbItMDPY,Kiss Me,0.498,0.124,4,-11.509,1,0.035,0.918,0.0,0.115,0.216,86.801,11,unknown,0,['unknown'],low,Neutral
girl in red,5rDzL33WiYowiXlZhwWvst,girls,0.515,0.449,5,-14.468,1,0.0337,0.227,0.0357,0.171,0.792,149.966,75,bedroom_pop bubblegrunge indie_pop norwegian_indie pop,0,"['bedroom_pop', 'bubblegrunge', 'indie_pop', 'norwegian_indie', 'pop']",low,Neutral
WILLOW,0RCpze7hmowZIGUJs9Dm7w,Marceline,0.686,0.45,9,-6.848,1,0.102,0.252,9.7e-05,0.101,0.23,129.761,77,afrofuturism dance_pop electropop pop post-teen_pop,62,"['afrofuturism', 'dance_pop', 'electropop', 'pop', 'post-teen_pop']",low,Neutral
Princess Nokia,6M1sRwraMMNUVCLUvo4e1B,Tomboy,0.623,0.785,2,-6.479,1,0.247,0.37,0.00494,0.413,0.476,75.056,62,escape_room lgbtq+_hip_hop trap_queen,0,"['escape_room', 'lgbtq+_hip_hop', 'trap_queen']",low,Neutral
Chynna,4NPbQGqPwjpLkgu28AYjOA,bets,0.516,0.637,11,-5.711,0,0.356,0.109,6.63e-06,0.09,0.209,207.971,41,electra escape_room trap_queen,0,"['electra', 'escape_room', 'trap_queen']",low,Neutral
Cara Delevingne,2oG6KxenlD7xNmzUGZY9xD,"I Feel Everything - From ""Valerian and the City of a Thousand Planets""",0.636,0.355,5,-8.977,1,0.0319,0.838,1.06e-05,0.132,0.527,128.766,26,unknown,27,['unknown'],low,Neutral
Ria Mae,20PcmTRTw6CPlMYRiSCtd5,Girlfriend - Stripped Down,0.673,0.544,2,-7.063,0,0.0424,0.0106,0.00123,0.162,0.281,147.924,37,canadian_pop,5,['canadian_pop'],low,Negative
Ängie,0LLnI7kJ6FSwomGoWIx01U,Housewife Spliffin',0.679,0.52,6,-8.901,0,0.152,0.183,0.0,0.108,0.564,150.016,42,alt_z electropop escape_room indie_electropop indie_poptimism,37,"['alt_z', 'electropop', 'escape_room', 'indie_electropop', 'indie_poptimism']",low,Neutral
The Blow,2nyuP0aVQ4mdGM5VE7AbsN,"""Come On Petunia""",0.888,0.55,6,-7.711,1,0.115,0.291,0.0871,0.0961,0.788,109.998,29,olympia_wa_indie,0,['olympia_wa_indie'],low,Neutral
Syd,0IaiJbZebXLqfetAkMEZzU,Body,0.88,0.507,1,-7.782,1,0.0921,0.0587,0.474,0.109,0.378,109.977,66,alternative_r&b chill_r&b indie_r&b indie_soul lgbtq+_hip_hop r&b,48,"['alternative_r&b', 'chill_r&b', 'indie_r&b', 'indie_soul', 'lgbtq+_hip_hop', 'r&b']",low,Neutral
Lowell,0CatI2bU3aCGe05pJsPGuF,Cloud 69,0.493,0.759,1,-7.893,1,0.0658,0.00388,1.91e-06,0.669,0.183,141.937,41,canadian_electropop queercore,21,"['canadian_electropop', 'queercore']",low,Neutral
Soko,7dnrJItpF3gZ1OkmH4wUW6,First Love Never Die,0.344,0.364,5,-12.592,1,0.0339,0.455,0.188,0.105,0.237,89.354,49,french_indie_pop,47,['french_indie_pop'],high,Positive
Kaki King,2IeOgn7m7SnlAE5fquVutV,I Think She Knows,0.694,0.55,4,-9.469,0,0.0319,0.127,0.000773,0.168,0.371,114.966,35,instrumental_acoustic_guitar,24,['instrumental_acoustic_guitar'],low,Neutral
Missy Higgins,2mjwGMDY5Io7GtGfAn00LL,Secret,0.738,0.37,10,-14.175,0,0.05,0.188,1.6e-06,0.0643,0.76,153.944,50,australian_pop australian_talent_show,27,"['australian_pop', 'australian_talent_show']",high,Negative
Maris,5gOk0ahAp9m0qJgrPnte7y,Boys,0.64,0.79,1,-5.52,1,0.0396,0.0447,0.0736,0.151,0.493,115.007,0,unknown,0,['unknown'],low,Neutral
Shura,2ylVfK4pVfeSV4zxieyT2B,Touch,0.731,0.662,9,-11.58,0,0.255,0.568,0.00102,0.22,0.432,89.927,50,art_pop electropop indie_pop indie_poptimism uk_pop vapor_soul,55,"['art_pop', 'electropop', 'indie_pop', 'indie_poptimism', 'uk_pop', 'vapor_soul']",low,Neutral
Dream Wife,6nVEkpMdoxA1xjcur12B7V,Somebody,0.652,0.886,1,-6.113,0,0.0596,0.0216,0.0254,0.361,0.9,140.008,31,chamber_psych icelandic_indie,26,"['chamber_psych', 'icelandic_indie']",low,Neutral
Lauren Ruth Ward,4s25mRE55lYB4pYXRdlhxw,I Feel Cool,0.636,0.44,4,-5.685,1,0.0518,0.815,8.04e-05,0.109,0.395,145.176,32,baltimore_indie,32,['baltimore_indie'],high,Positive
Amandla Stenberg,2vT2lOR19A03pPC1BnqFz5,Let My Baby Stay,0.516,0.363,10,-7.023,0,0.0385,0.313,0.146,0.0718,0.217,102.112,37,unknown,0,['unknown'],low,Neutral
Vanessa Carlton,5y69gQtK33qxb8a24ACkCy,A Thousand Miles,0.559,0.845,11,-3.871,1,0.0379,0.222,0.0,0.164,0.304,94.915,61,lilith neo_mellow piano_rock pop_rock post-teen_pop,0,"['lilith', 'neo_mellow', 'piano_rock', 'pop_rock', 'post-teen_pop']",low,Neutral
Christine and the Queens,2ILilOGEh31uHITYFazrLM,Tilted,0.872,0.361,7,-9.88,1,0.0609,0.283,0.00262,0.108,0.489,100.001,58,art_pop electro-pop_francais electropop metropopolis shimmer_pop,57,"['art_pop', 'electro-pop_francais', 'electropop', 'metropopolis', 'shimmer_pop']",low,Neutral
Miki Ratsula,4jt1LSZ6mQxufdrWzkrKoc,Radiant Warmth,0.643,0.228,11,-13.223,1,0.0333,0.707,0.0,0.12,0.326,109.531,45,alt_z,0,['alt_z'],low,Neutral
phem,3H6de7vWCzmfkj5XB052Yu,blinders,0.633,0.675,9,-6.811,0,0.0698,0.0249,9.43e-05,0.106,0.0791,125.023,48,alt_z,0,['alt_z'],low,Neutral
The Greeting Committee,7CrTWohCuzWE9VqeErADr8,She's A Gun,0.406,0.981,1,-2.752,0,0.0507,1.46e-05,2.09e-05,0.0493,0.304,93.631,53,indie_pop kc_indie modern_rock,42,"['indie_pop', 'kc_indie', 'modern_rock']",low,Neutral
Lovers,7puo4S8ClhmRBQoZ2Rqbi6,Girl in the Grass,0.623,0.512,0,-9.103,1,0.0287,0.2,0.00126,0.137,0.338,159.93,11,unknown,7,['unknown'],low,Neutral
Tiara Thomas,2I5iXD51j7CkVG8wrGqxNm,Retro 1's,0.635,0.411,5,-12.745,0,0.321,0.559,1.41e-06,0.095,0.238,125.924,39,alternative_r&b pop_r&b,23,"['alternative_r&b', 'pop_r&b']",low,Neutral
Lucy Spraggan,2TxcfaWqSgAep9enCCzjig,Fight for It,0.389,0.666,9,-5.525,1,0.122,0.341,2.38e-06,0.0994,0.371,166.88,48,talent_show uk_pop,35,"['talent_show', 'uk_pop']",low,Neutral
RoxXxan,5mgbIinNRlqTCFNU10VAM4,Too Fucking Facety,0.561,0.298,7,-18.853,1,0.419,0.00364,0.0,0.181,0.621,97.906,4,grime lgbtq+_hip_hop,0,"['grime', 'lgbtq+_hip_hop']",high,Negative
Beth O'Reilly,5qWbdrM9ioSVfuDIrDqYt5,Vignette,0.569,0.145,6,-13.822,1,0.0332,0.849,0.0,0.0895,0.138,129.615,0,unknown,2,['unknown'],low,Neutral
Marika Hackman,6Qjk6ZEltFhFqCIU2cp4Yd,Boyfriend,0.586,0.733,0,-6.561,1,0.0344,0.123,7.69e-05,0.0679,0.363,106.058,46,ambient_folk art_pop indie_folk,30,"['ambient_folk', 'art_pop', 'indie_folk']",low,Neutral
Asobi Seksu,4qfP4divr2At9B7GlYI1r2,Trails,0.297,0.918,8,-4.804,1,0.0563,1.07e-05,0.179,0.179,0.315,171.924,32,dream_pop japanese_shoegaze noise_pop nu_gaze shoegaze,2,"['dream_pop', 'japanese_shoegaze', 'noise_pop', 'nu_gaze', 'shoegaze']",low,Neutral
Beatrice Eli,3B5Gcq2VDjfsT7nqQkN0J3,That's Not Us,0.686,0.518,9,-9.859,0,0.0442,0.102,0.000704,0.0987,0.135,115.936,29,metropopolis swedish_electropop,13,"['metropopolis', 'swedish_electropop']",low,Neutral
Gossip,48eUcHz6HlIXU8tVdv9Lk1,Heavy Cross,0.793,0.688,2,-4.216,1,0.0328,0.079,0.0604,0.145,0.221,120.058,49,alternative_dance electroclash electropop new_rave olympia_wa_indie,41,"['alternative_dance', 'electroclash', 'electropop', 'new_rave', 'olympia_wa_indie']",low,Negative
God Is My Co-Pilot,6eY7QtqVFQ1rDBmVSLddOT,Steal Yr GF,0.559,0.924,11,-7.693,0,0.078,0.000142,0.000573,0.548,0.6,130.02,4,queercore,13,['queercore'],low,Neutral
Amanda Palmer,00cBbYhjnOBO0mO67EZHdB,The Killing Type,0.788,0.524,4,-7.131,0,0.0539,0.0278,2.24e-05,0.0721,0.696,106.541,42,anti-folk dark_cabaret piano_rock steampunk,0,"['anti-folk', 'dark_cabaret', 'piano_rock', 'steampunk']",low,Neutral
Amy Winehouse,6nLvaCZFR1wEzW3sIKpsnr,"Valerie - Live At BBC Radio 1 Live Lounge, London / 2007",0.772,0.371,5,-5.743,0,0.0348,0.744,0.0,0.167,0.684,96.574,73,british_soul indie_r&b neo_soul,75,"['british_soul', 'indie_r&b', 'neo_soul']",high,Positive
Ladyhawke,1YhzlKAGZCgFmu3maqDQtl,My Delirium,0.456,0.802,9,-4.025,0,0.0477,0.000697,0.000934,0.474,0.461,150.029,45,alternative_dance electroclash electropop indietronica metropopolis neo-synthpop new_rave,54,"['alternative_dance', 'electroclash', 'electropop', 'indietronica', 'metropopolis', 'neo-synthpop', 'new_rave']",low,Neutral
Christina Aguilera,0dmBhUb8BZnd0F8rEhzpTI,Maria,0.453,0.738,1,-5.045,0,0.088,0.0269,2.01e-06,0.159,0.0864,148.195,76,dance_pop pop post-teen_pop,38,"['dance_pop', 'pop', 'post-teen_pop']",low,Neutral
Domo Wilson,2z5cGLizHK4KsJzpzUZQt7,Not Even Her (Interlude),0.691,0.554,11,-9.361,0,0.34,0.381,0.0,0.243,0.448,82.96,43,trap_queen,0,['trap_queen'],low,Neutral
Reesa Renee,6LqT8lsWNYPlrByU72MkUL,Hello Mama,0.602,0.853,2,-3.712,0,0.0413,0.00349,0.0,0.281,0.906,93.964,8,unknown,2,['unknown'],low,Neutral
TORRES,1rnmw8pCjaYaLKzZg2dj4p,"Don't Run Away, Emilie",0.525,0.225,7,-13.229,0,0.0312,0.803,0.108,0.0717,0.103,80.052,32,art_pop bubblegrunge,9,"['art_pop', 'bubblegrunge']",low,Neutral
King Princess,6VCeywT4JeawuZOUkQ1okx,Pussy Is God,0.739,0.621,11,-6.929,0,0.238,0.049,0.00369,0.0718,0.462,85.969,61,alt_z art_pop dance_pop electropop indie_pop indie_poptimism nyc_pop pop,58,"['alt_z', 'art_pop', 'dance_pop', 'electropop', 'indie_pop', 'indie_poptimism', 'nyc_pop', 'pop']",low,Neutral
