artist_name,track_uri,artist_uri,track_name,album_uri,duration,album_name,artists
Honey Dijon,spotify:track:7J6BpQrP9hCRc7TzN0XqY6,spotify:artist:0XfQBWgzisaS9ltDV9bXAS,Love Is A State Of Mind (feat. Ramona Renea),spotify:album:5fh3Zpnp4rJMlmkLZCOtta,193859,Love Is A State Of Mind (feat. Ramona Renea),"Honey Dijon, Ramona Renea"
Syd,spotify:track:5vvn5HATa05iKVql6oYULV,spotify:artist:3jk39CGeaaSO3FPKNx1RUx,Missing Out,spotify:album:1WteYNWIkmmgTfquwV0Mc4,239744,Missing Out,Syd
Lil Nas X,spotify:track:27NovPIUIRrOZoCHxABJwK,spotify:artist:7jVv8c5Fj3E9VhNjxT4snq,INDUSTRY BABY (feat. Jack Harlow),spotify:album:622NFw5Yk0OReMJ2XWcXUh,212000,INDUSTRY BABY (feat. Jack Harlow),"Lil Nas X, Jack Harlow"
Spellling,spotify:track:7GkNvyhBawJGjNkmKsyQjP,spotify:artist:7rlAAAiWScpsT1hmgURAmh,Little Deer,spotify:album:5Dqqrr1dhaZ3BcFthVUCj2,339307,The Turning Wheel,Spellling
Shamir,spotify:track:2czRLbCuPOP9azgqYS52c9,spotify:artist:7JgXEHI1oEiQICAMeCsKTj,Reproductive,spotify:album:0DpCo0SXKnfsBx98H2qDVI,275805,Heterosexuality,Shamir
Lava La Rue,spotify:track:6f2877TmbjnqZEqeQEGi3o,spotify:artist:271bbpX3pdCi56ZJA1jQ43,Vest & Boxers,spotify:album:1Grk1vw2BVPcwvci9xcHy1,177064,Vest & Boxers,Lava La Rue
KAYTRANADA,spotify:track:1jBKtzlwTVtCrScpiiHiKT,spotify:artist:6qgnBH6iDM91ipVXv28OMu,Intimidated (feat. H.E.R.),spotify:album:1tbB05wnLmxMl8WPbcnV0y,207840,Intimidated,"KAYTRANADA, H.E.R."
Dizzy Fae,spotify:track:4ymwozmsZ75AyUUTRhSOcQ,spotify:artist:0jt1EsJCeoQXLNDta4JF6c,Body Move,spotify:album:4DEf7dix4OkYsi4bpsstRU,177000,Body Move,Dizzy Fae
Yves Tumor,spotify:track:1I0i3wWt1sCZ4PT0TfnyZm,spotify:artist:0qu422H5MOoQxGjd4IzHbS,Crushed Velvet,spotify:album:2julo3Z5rNzSod7DoEuTz7,197493,The Asymptotical World EP,Yves Tumor
Arlo Parks,spotify:track:3fpfQC77x3uwESSJ6VmUKM,spotify:artist:4kIwETcbpuFgRukE8o7Opx,Softly,spotify:album:7qlt7zR5715v6Ey0lQsjcN,188780,Softly,Arlo Parks
